from_vertex_id	to_vertex_id	start_minute	end_minute	weight	interaction_type
14	12	0.125	0.125	1	social
12	14	0.25	0.25	1	social
18	12	0.375	0.375	1	sanction
12	18	0.5	0.5	1	sanction
1	12	0.625	0.625	1	sanction
12	1	0.75	0.75	1	sanction
14	17	0.875	0.875	1	task
17	14	1	1	1	task
14	1	1.167	1.167	0.2	task
14	2	1.167	1.167	0.2	task
14	3	1.167	1.167	0.2	task
14	4	1.167	1.167	0.2	task
14	5	1.167	1.167	0.2	task
14	6	1.167	1.167	0.2	task
14	7	1.167	1.167	0.2	task
14	8	1.167	1.167	0.2	task
14	9	1.167	1.167	0.2	task
14	10	1.167	1.167	0.2	task
14	11	1.167	1.167	0.2	task
14	12	1.167	1.167	0.2	task
14	13	1.167	1.167	0.2	task
14	15	1.167	1.167	0.2	task
14	16	1.167	1.167	0.2	task
14	17	1.167	1.167	0.2	task
14	18	1.167	1.167	0.2	task
14	19	1.167	1.167	0.2	task
14	20	1.167	1.167	0.2	task
7	1	1.333	1.333	0.2	task
7	2	1.333	1.333	0.2	task
7	3	1.333	1.333	0.2	task
7	4	1.333	1.333	0.2	task
7	5	1.333	1.333	0.2	task
7	6	1.333	1.333	0.2	task
7	8	1.333	1.333	0.2	task
7	9	1.333	1.333	0.2	task
7	10	1.333	1.333	0.2	task
7	11	1.333	1.333	0.2	task
7	12	1.333	1.333	0.2	task
7	13	1.333	1.333	0.2	task
7	14	1.333	1.333	0.2	task
7	15	1.333	1.333	0.2	task
7	16	1.333	1.333	0.2	task
7	17	1.333	1.333	0.2	task
7	18	1.333	1.333	0.2	task
7	19	1.333	1.333	0.2	task
7	20	1.333	1.333	0.2	task
4	12	1.5	1.5	1	social
12	4	1.667	1.667	1	social
12	10	1.833	1.833	1	social
10	12	2	2	1	social
10	4	2.167	2.167	1	social
4	10	2.333	2.333	1	social
4	5	2.5	2.5	1	social
5	4	2.667	2.667	1	social
5	10	2.833	2.833	1	social
10	5	3	3	1	social
5	12	3.167	3.167	1	social
12	5	3.333	3.333	1	social
7	4	3.5	3.5	1	sanction
7	5	3.667	3.667	1	sanction
7	12	3.833	3.833	1	sanction
7	10	4	4	1	sanction
14	7	4.167	4.167	1	task
14	4	4.333	4.333	1	sanction
14	5	4.5	4.5	1	sanction
14	12	4.667	4.667	1	sanction
14	10	4.833	4.833	1	sanction
16	17	5	5	1	social
17	16	5.167	5.167	1	social
16	17	5.333	5.333	1	social
17	16	5.5	5.5	1	social
7	1	5.667	5.667	0.2	task
7	2	5.667	5.667	0.2	task
7	3	5.667	5.667	0.2	task
7	4	5.667	5.667	0.2	task
7	5	5.667	5.667	0.2	task
7	6	5.667	5.667	0.2	task
7	8	5.667	5.667	0.2	task
7	9	5.667	5.667	0.2	task
7	10	5.667	5.667	0.2	task
7	11	5.667	5.667	0.2	task
7	12	5.667	5.667	0.2	task
7	13	5.667	5.667	0.2	task
7	14	5.667	5.667	0.2	task
7	15	5.667	5.667	0.2	task
7	16	5.667	5.667	0.2	task
7	17	5.667	5.667	0.2	task
7	18	5.667	5.667	0.2	task
7	19	5.667	5.667	0.2	task
7	20	5.667	5.667	0.2	task
17	7	5.833	5.833	1	task
7	17	6	6	1	task
7	1	6.107	6.107	0.2	task
7	2	6.107	6.107	0.2	task
7	3	6.107	6.107	0.2	task
7	4	6.107	6.107	0.2	task
7	5	6.107	6.107	0.2	task
7	6	6.107	6.107	0.2	task
7	8	6.107	6.107	0.2	task
7	9	6.107	6.107	0.2	task
7	10	6.107	6.107	0.2	task
7	11	6.107	6.107	0.2	task
7	12	6.107	6.107	0.2	task
7	13	6.107	6.107	0.2	task
7	14	6.107	6.107	0.2	task
7	15	6.107	6.107	0.2	task
7	16	6.107	6.107	0.2	task
7	17	6.107	6.107	0.2	task
7	18	6.107	6.107	0.2	task
7	19	6.107	6.107	0.2	task
7	20	6.107	6.107	0.2	task
10	5	6.214	6.214	1	social
5	10	6.321	6.321	1	social
4	12	6.429	6.429	1	social
12	4	6.536	6.536	1	social
7	1	6.643	6.643	0.2	task
7	2	6.643	6.643	0.2	task
7	3	6.643	6.643	0.2	task
7	4	6.643	6.643	0.2	task
7	5	6.643	6.643	0.2	task
7	6	6.643	6.643	0.2	task
7	8	6.643	6.643	0.2	task
7	9	6.643	6.643	0.2	task
7	10	6.643	6.643	0.2	task
7	11	6.643	6.643	0.2	task
7	12	6.643	6.643	0.2	task
7	13	6.643	6.643	0.2	task
7	14	6.643	6.643	0.2	task
7	15	6.643	6.643	0.2	task
7	16	6.643	6.643	0.2	task
7	17	6.643	6.643	0.2	task
7	18	6.643	6.643	0.2	task
7	19	6.643	6.643	0.2	task
7	20	6.643	6.643	0.2	task
18	1	6.75	6.75	1	task
1	18	6.857	6.857	1	task
20	17	6.964	6.964	1	social
17	20	7.071	7.071	1	social
7	1	7.179	7.179	0.2	task
7	2	7.179	7.179	0.2	task
7	3	7.179	7.179	0.2	task
7	4	7.179	7.179	0.2	task
7	5	7.179	7.179	0.2	task
7	6	7.179	7.179	0.2	task
7	8	7.179	7.179	0.2	task
7	9	7.179	7.179	0.2	task
7	10	7.179	7.179	0.2	task
7	11	7.179	7.179	0.2	task
7	12	7.179	7.179	0.2	task
7	13	7.179	7.179	0.2	task
7	14	7.179	7.179	0.2	task
7	15	7.179	7.179	0.2	task
7	16	7.179	7.179	0.2	task
7	17	7.179	7.179	0.2	task
7	18	7.179	7.179	0.2	task
7	19	7.179	7.179	0.2	task
7	20	7.179	7.179	0.2	task
4	1	7.286	7.286	0.2	social
4	2	7.286	7.286	0.2	social
4	3	7.286	7.286	0.2	social
4	5	7.286	7.286	0.2	social
4	6	7.286	7.286	0.2	social
4	7	7.286	7.286	0.2	social
4	8	7.286	7.286	0.2	social
4	9	7.286	7.286	0.2	social
4	10	7.286	7.286	0.2	social
4	11	7.286	7.286	0.2	social
4	12	7.286	7.286	0.2	social
4	13	7.286	7.286	0.2	social
4	14	7.286	7.286	0.2	social
4	15	7.286	7.286	0.2	social
4	16	7.286	7.286	0.2	social
4	17	7.286	7.286	0.2	social
4	18	7.286	7.286	0.2	social
4	19	7.286	7.286	0.2	social
4	20	7.286	7.286	0.2	social
16	20	7.393	7.393	1	social
20	16	7.5	7.5	1	social
9	18	7.607	7.607	1	social
18	9	7.714	7.714	1	social
20	17	7.821	7.821	1	social
17	20	7.929	7.929	1	social
13	3	8.036	8.036	1	task
3	13	8.143	8.143	1	task
14	18	8.25	8.25	1	task
18	14	8.357	8.357	1	task
14	1	8.464	8.464	1	task
1	14	8.571	8.571	1	task
14	9	8.679	8.679	1	task
9	14	8.786	8.786	1	task
10	4	8.893	8.893	1	social
4	10	9	9	1	social
18	1	9.107	9.107	1	social
1	18	9.214	9.214	1	social
4	5	9.321	9.321	1	task
5	4	9.429	9.429	1	task
18	1	9.536	9.536	1	social
1	18	9.643	9.643	1	social
18	1	9.75	9.75	1	task
1	18	9.857	9.857	1	task
14	12	9.964	9.964	1	task
12	14	10.071	10.071	1	task
14	5	10.179	10.179	1	task
5	14	10.286	10.286	1	task
14	4	10.393	10.393	1	task
4	14	10.5	10.5	1	task
4	12	10.607	10.607	1	task
12	4	10.714	10.714	1	task
11	15	10.821	10.821	1	task
15	11	10.929	10.929	1	task
11	15	11.036	11.036	1	task
15	11	11.143	11.143	1	task
8	13	11.25	11.25	1	social
13	8	11.357	11.357	1	social
20	17	11.464	11.464	1	social
17	20	11.571	11.571	1	social
14	10	11.679	11.679	1	task
10	14	11.786	11.786	1	task
7	20	11.893	11.893	1	task
20	7	12	12	1	task
7	17	12.107	12.107	1	task
17	7	12.214	12.214	1	task
7	16	12.321	12.321	1	task
16	7	12.429	12.429	1	task
1	9	12.536	12.536	1	social
9	1	12.643	12.643	1	social
13	3	12.75	12.75	1	task
3	13	12.857	12.857	1	task
11	15	12.964	12.964	1	task
15	11	13.071	13.071	1	task
12	10	13.179	13.179	1	social
10	12	13.286	13.286	1	social
10	4	13.393	13.393	1	task
4	10	13.5	13.5	1	task
4	12	13.607	13.607	1	task
12	4	13.714	13.714	1	task
10	4	13.821	13.821	1	social
4	10	13.929	13.929	1	social
17	16	14.036	14.036	1	task
16	17	14.143	14.143	1	task
1	9	14.25	14.25	1	task
9	1	14.357	14.357	1	task
9	18	14.464	14.464	1	task
18	9	14.571	14.571	1	task
3	8	14.679	14.679	1	task
8	3	14.786	14.786	1	task
7	15	14.893	14.893	1	task
15	7	15	15	1	task
7	6	15.107	15.107	1	task
6	7	15.214	15.214	1	task
7	11	15.321	15.321	1	task
11	7	15.429	15.429	1	task
12	10	15.536	15.536	1	task
10	12	15.643	15.643	1	task
17	16	15.75	15.75	1	task
16	17	15.857	15.857	1	task
4	5	15.964	15.964	1	social
5	4	16.071	16.071	1	social
12	5	16.179	16.179	1	task
5	12	16.286	16.286	1	task
4	5	16.393	16.393	1	social
5	4	16.5	16.5	1	social
13	3	16.607	16.607	1	task
3	13	16.714	16.714	1	task
18	1	16.821	16.821	1	task
1	18	16.929	16.929	1	task
6	11	17.036	17.036	1	task
11	6	17.143	17.143	1	task
13	3	17.25	17.25	1	social
3	13	17.357	17.357	1	social
10	4	17.464	17.464	1	task
4	10	17.571	17.571	1	task
4	5	17.679	17.679	1	task
5	4	17.786	17.786	1	task
3	8	17.893	17.893	1	social
8	3	18	18	1	social
20	17	18.107	18.107	1	social
17	20	18.214	18.214	1	social
5	10	18.321	18.321	1	social
10	5	18.429	18.429	1	social
15	6	18.536	18.536	1	task
6	15	18.643	18.643	1	task
12	5	18.75	18.75	1	social
5	12	18.857	18.857	1	social
4	5	18.964	18.964	1	social
5	4	19.071	19.071	1	social
4	12	19.179	19.179	1	social
12	4	19.286	19.286	1	social
4	5	19.393	19.393	1	social
5	4	19.5	19.5	1	social
8	13	19.607	19.607	1	task
13	8	19.714	19.714	1	task
17	16	19.821	19.821	1	social
16	17	19.929	19.929	1	social
3	8	20.036	20.036	1	task
8	3	20.143	20.143	1	task
4	12	20.25	20.25	1	social
12	4	20.357	20.357	1	social
3	8	20.464	20.464	1	task
8	3	20.571	20.571	1	task
5	10	20.679	20.679	1	task
10	5	20.786	20.786	1	task
7	1	20.893	20.893	0.2	task
7	2	20.893	20.893	0.2	task
7	3	20.893	20.893	0.2	task
7	4	20.893	20.893	0.2	task
7	5	20.893	20.893	0.2	task
7	6	20.893	20.893	0.2	task
7	8	20.893	20.893	0.2	task
7	9	20.893	20.893	0.2	task
7	10	20.893	20.893	0.2	task
7	11	20.893	20.893	0.2	task
7	12	20.893	20.893	0.2	task
7	13	20.893	20.893	0.2	task
7	14	20.893	20.893	0.2	task
7	15	20.893	20.893	0.2	task
7	16	20.893	20.893	0.2	task
7	17	20.893	20.893	0.2	task
7	18	20.893	20.893	0.2	task
7	19	20.893	20.893	0.2	task
7	20	20.893	20.893	0.2	task
14	1	21	21	0.2	sanction
14	2	21	21	0.2	sanction
14	3	21	21	0.2	sanction
14	4	21	21	0.2	sanction
14	5	21	21	0.2	sanction
14	6	21	21	0.2	sanction
14	7	21	21	0.2	sanction
14	8	21	21	0.2	sanction
14	9	21	21	0.2	sanction
14	10	21	21	0.2	sanction
14	11	21	21	0.2	sanction
14	12	21	21	0.2	sanction
14	13	21	21	0.2	sanction
14	15	21	21	0.2	sanction
14	16	21	21	0.2	sanction
14	17	21	21	0.2	sanction
14	18	21	21	0.2	sanction
14	19	21	21	0.2	sanction
14	20	21	21	0.2	sanction
10	4	21.07	21.07	1	social
4	10	21.14	21.14	1	social
8	13	21.209	21.209	1	task
13	8	21.279	21.279	1	task
18	1	21.349	21.349	1	social
1	18	21.419	21.419	1	social
12	18	21.488	21.488	1	task
18	12	21.558	21.558	1	task
3	8	21.628	21.628	1	task
8	3	21.698	21.698	1	task
20	16	21.767	21.767	1	task
16	20	21.837	21.837	1	task
20	4	21.907	21.907	1	social
4	20	21.977	21.977	1	social
14	9	22.047	22.047	1	task
9	14	22.116	22.116	1	task
14	1	22.186	22.186	1	task
1	14	22.256	22.256	1	task
14	18	22.326	22.326	1	task
18	14	22.395	22.395	1	task
10	4	22.465	22.465	1	social
4	10	22.535	22.535	1	social
1	9	22.605	22.605	1	task
9	1	22.674	22.674	1	task
4	12	22.744	22.744	1	social
12	4	22.814	22.814	1	social
18	1	22.884	22.884	1	task
1	18	22.953	22.953	1	task
12	10	23.023	23.023	1	task
10	12	23.093	23.093	1	task
9	18	23.163	23.163	1	social
18	9	23.233	23.233	1	social
16	17	23.302	23.302	1	task
17	16	23.372	23.372	1	task
17	20	23.442	23.442	1	task
20	17	23.512	23.512	1	task
3	8	23.581	23.581	1	task
8	3	23.651	23.651	1	task
20	4	23.721	23.721	1	social
7	18	23.791	23.791	1	task
18	7	23.86	23.86	1	task
7	1	23.93	23.93	1	task
1	7	24	24	1	task
7	9	24.07	24.07	1	task
9	7	24.14	24.14	1	task
8	13	24.209	24.209	1	social
13	8	24.279	24.279	1	social
13	3	24.349	24.349	1	task
3	13	24.419	24.419	1	task
16	17	24.488	24.488	1	task
17	16	24.558	24.558	1	task
12	18	24.628	24.628	1	task
18	12	24.698	24.698	1	task
17	4	24.767	24.767	1	social
9	18	24.837	24.837	1	task
18	9	24.907	24.907	1	task
18	1	24.977	24.977	1	task
1	18	25.047	25.047	1	task
10	4	25.116	25.116	1	task
4	10	25.186	25.186	1	task
18	1	25.256	25.256	1	task
1	18	25.326	25.326	1	task
13	3	25.395	25.395	1	task
3	13	25.465	25.465	1	task
6	11	25.535	25.535	1	task
11	6	25.605	25.605	1	task
6	11	25.674	25.674	1	task
11	6	25.744	25.744	1	task
14	18	25.814	25.814	1	task
18	14	25.884	25.884	1	task
14	1	25.953	25.953	1	task
1	14	26.023	26.023	1	task
14	9	26.093	26.093	1	task
9	14	26.163	26.163	1	task
17	4	26.233	26.233	1	social
4	17	26.302	26.302	1	social
15	6	26.372	26.372	1	task
6	15	26.442	26.442	1	task
12	10	26.512	26.512	1	social
10	12	26.581	26.581	1	social
4	12	26.651	26.651	1	social
12	4	26.721	26.721	1	social
13	3	26.791	26.791	1	task
3	13	26.86	26.86	1	task
20	16	26.93	26.93	1	task
16	20	27	27	1	task
14	11	27.07	27.07	1	task
11	14	27.14	27.14	1	task
14	15	27.209	27.209	1	task
15	14	27.279	27.279	1	task
14	6	27.349	27.349	1	task
6	14	27.419	27.419	1	task
15	6	27.488	27.488	1	task
6	15	27.558	27.558	1	task
4	12	27.628	27.628	1	social
12	4	27.698	27.698	1	social
12	10	27.767	27.767	1	task
10	12	27.837	27.837	1	task
5	4	27.907	27.907	1	task
4	5	27.977	27.977	1	task
3	8	28.047	28.047	1	task
8	3	28.116	28.116	1	task
17	20	28.186	28.186	1	task
20	17	28.256	28.256	1	task
15	6	28.326	28.326	1	task
6	15	28.395	28.395	1	task
3	8	28.465	28.465	1	task
8	3	28.535	28.535	1	task
13	3	28.605	28.605	1	task
3	13	28.674	28.674	1	task
17	20	28.744	28.744	1	task
20	17	28.814	28.814	1	task
7	3	28.884	28.884	1	task
3	7	28.953	28.953	1	task
7	8	29.023	29.023	1	task
8	7	29.093	29.093	1	task
7	13	29.163	29.163	1	task
13	7	29.233	29.233	1	task
16	17	29.302	29.302	1	task
17	16	29.372	29.372	1	task
5	10	29.442	29.442	1	task
10	5	29.512	29.512	1	task
6	11	29.581	29.581	1	task
11	6	29.651	29.651	1	task
1	9	29.721	29.721	1	task
9	1	29.791	29.791	1	task
6	11	29.86	29.86	1	task
11	6	29.93	29.93	1	task
11	15	30	30	1	task
15	11	30.07	30.07	1	task
15	6	30.14	30.14	1	task
6	15	30.209	30.209	1	task
20	16	30.279	30.279	1	task
16	20	30.349	30.349	1	task
11	15	30.419	30.419	1	task
15	11	30.488	30.488	1	task
5	4	30.558	30.558	1	task
4	5	30.628	30.628	1	task
14	16	30.698	30.698	1	task
16	14	30.767	30.767	1	task
14	17	30.837	30.837	1	task
17	14	30.907	30.907	1	task
14	20	30.977	30.977	1	task
20	14	31.047	31.047	1	task
5	10	31.116	31.116	1	task
10	5	31.186	31.186	1	task
16	17	31.256	31.256	1	task
17	16	31.326	31.326	1	task
12	10	31.395	31.395	1	social
10	12	31.465	31.465	1	social
20	16	31.535	31.535	1	task
16	20	31.605	31.605	1	task
10	4	31.674	31.674	1	task
4	10	31.744	31.744	1	task
4	12	31.814	31.814	1	social
12	4	31.884	31.884	1	social
17	20	31.953	31.953	1	task
20	17	32.023	32.023	1	task
7	12	32.093	32.093	1	task
12	7	32.163	32.163	1	task
7	4	32.233	32.233	1	task
4	7	32.302	32.302	1	task
7	5	32.372	32.372	1	task
5	7	32.442	32.442	1	task
7	10	32.512	32.512	1	task
10	7	32.581	32.581	1	task
14	13	32.651	32.651	1	task
13	14	32.721	32.721	1	task
14	1	32.791	32.791	1	task
1	14	32.86	32.86	1	task
14	3	32.93	32.93	1	task
3	14	33	33	1	task
4	10	33.066	33.066	1	social
10	4	33.132	33.132	1	social
10	4	33.197	33.197	1	social
4	10	33.263	33.263	1	social
11	15	33.329	33.329	1	task
15	11	33.395	33.395	1	task
14	20	33.461	33.461	1	task
20	14	33.526	33.526	1	task
14	17	33.592	33.592	1	task
17	14	33.658	33.658	1	task
14	16	33.724	33.724	1	task
16	14	33.789	33.789	1	task
5	10	33.855	33.855	1	social
10	5	33.921	33.921	1	social
13	3	33.987	33.987	1	task
3	13	34.053	34.053	1	task
17	20	34.118	34.118	1	social
20	17	34.184	34.184	1	social
6	11	34.25	34.25	1	task
11	6	34.316	34.316	1	task
4	12	34.382	34.382	1	social
12	4	34.447	34.447	1	social
9	18	34.513	34.513	1	social
18	9	34.579	34.579	1	social
7	16	34.645	34.645	1	task
16	7	34.711	34.711	1	task
7	20	34.776	34.776	1	task
20	7	34.842	34.842	1	task
7	17	34.908	34.908	1	task
17	7	34.974	34.974	1	task
6	11	35.039	35.039	1	task
11	6	35.105	35.105	1	task
1	9	35.171	35.171	1	task
9	1	35.237	35.237	1	task
5	4	35.303	35.303	1	task
4	5	35.368	35.368	1	task
15	6	35.434	35.434	1	task
6	15	35.5	35.5	1	task
3	8	35.566	35.566	1	task
8	3	35.632	35.632	1	task
7	11	35.697	35.697	1	task
11	7	35.763	35.763	1	task
7	15	35.829	35.829	1	task
15	7	35.895	35.895	1	task
7	6	35.961	35.961	1	task
6	7	36.026	36.026	1	task
18	1	36.092	36.092	1	social
1	18	36.158	36.158	1	social
1	9	36.224	36.224	1	task
9	1	36.289	36.289	1	task
12	10	36.355	36.355	1	social
4	5	36.421	36.421	1	social
5	4	36.487	36.487	1	social
12	18	36.553	36.553	1	social
18	12	36.618	36.618	1	social
18	1	36.684	36.684	1	task
1	18	36.75	36.75	1	task
12	10	36.816	36.816	1	social
10	12	36.882	36.882	1	social
4	12	36.947	36.947	1	social
12	4	37.013	37.013	1	social
20	16	37.079	37.079	1	task
16	20	37.145	37.145	1	task
18	1	37.211	37.211	1	task
1	18	37.276	37.276	1	task
14	4	37.342	37.342	1	task
4	14	37.408	37.408	1	task
14	10	37.474	37.474	1	task
10	14	37.539	37.539	1	task
14	5	37.605	37.605	1	task
5	14	37.671	37.671	1	task
14	12	37.737	37.737	1	task
12	14	37.803	37.803	1	task
12	10	37.868	37.868	1	task
10	12	37.934	37.934	1	task
20	16	38	38	1	social
16	20	38.066	38.066	1	social
4	10	38.132	38.132	1	social
16	17	38.197	38.197	1	social
17	16	38.263	38.263	1	social
15	6	38.329	38.329	1	task
6	15	38.395	38.395	1	task
17	20	38.461	38.461	1	task
20	17	38.526	38.526	1	task
7	9	38.592	38.592	1	task
9	7	38.658	38.658	1	task
7	18	38.724	38.724	1	task
18	7	38.789	38.789	1	task
7	1	38.855	38.855	1	task
1	7	38.921	38.921	1	task
16	17	38.987	38.987	1	task
17	16	39.053	39.053	1	task
4	12	39.118	39.118	1	social
12	4	39.184	39.184	1	social
13	3	39.25	39.25	1	task
3	13	39.316	39.316	1	task
20	16	39.382	39.382	1	task
16	20	39.447	39.447	1	task
6	11	39.513	39.513	1	task
11	6	39.579	39.579	1	task
6	11	39.645	39.645	1	task
11	6	39.711	39.711	1	task
12	10	39.776	39.776	1	social
10	12	39.842	39.842	1	social
9	18	39.908	39.908	1	task
18	9	39.974	39.974	1	task
4	10	40.039	40.039	1	social
4	12	40.105	40.105	1	social
12	4	40.171	40.171	1	social
14	18	40.237	40.237	1	task
18	14	40.303	40.303	1	task
14	1	40.368	40.368	1	task
1	14	40.434	40.434	1	task
14	9	40.5	40.5	1	task
9	14	40.566	40.566	1	task
3	8	40.632	40.632	1	task
8	3	40.697	40.697	1	task
16	17	40.763	40.763	1	social
17	16	40.829	40.829	1	social
13	3	40.895	40.895	1	task
3	13	40.961	40.961	1	task
15	6	41.026	41.026	1	task
6	15	41.092	41.092	1	task
16	17	41.158	41.158	1	task
17	16	41.224	41.224	1	task
3	8	41.289	41.289	1	task
8	3	41.355	41.355	1	task
8	13	41.421	41.421	1	task
13	8	41.487	41.487	1	task
14	12	41.553	41.553	1	task
12	14	41.618	41.618	1	task
14	5	41.684	41.684	1	task
5	14	41.75	41.75	1	task
14	10	41.816	41.816	1	task
10	14	41.882	41.882	1	task
14	4	41.947	41.947	1	task
4	14	42.013	42.013	1	task
18	1	42.079	42.079	1	task
1	18	42.145	42.145	1	task
12	18	42.211	42.211	1	social
3	8	42.276	42.276	1	task
8	3	42.342	42.342	1	task
13	3	42.408	42.408	1	task
3	13	42.474	42.474	1	task
15	6	42.539	42.539	1	task
6	15	42.605	42.605	1	task
11	15	42.671	42.671	1	task
15	11	42.737	42.737	1	task
20	16	42.803	42.803	1	social
16	20	42.868	42.868	1	social
8	13	42.934	42.934	1	social
13	8	43	43	1	social
7	15	43.111	43.111	1	task
15	7	43.222	43.222	1	task
7	1	43.333	43.333	0.2	task
7	2	43.333	43.333	0.2	task
7	3	43.333	43.333	0.2	task
7	4	43.333	43.333	0.2	task
7	5	43.333	43.333	0.2	task
7	6	43.333	43.333	0.2	task
7	8	43.333	43.333	0.2	task
7	9	43.333	43.333	0.2	task
7	10	43.333	43.333	0.2	task
7	11	43.333	43.333	0.2	task
7	12	43.333	43.333	0.2	task
7	13	43.333	43.333	0.2	task
7	14	43.333	43.333	0.2	task
7	15	43.333	43.333	0.2	task
7	16	43.333	43.333	0.2	task
7	17	43.333	43.333	0.2	task
7	18	43.333	43.333	0.2	task
7	19	43.333	43.333	0.2	task
7	20	43.333	43.333	0.2	task
1	7	43.444	43.444	1	task
1	3	43.556	43.556	1	social
3	1	43.667	43.667	1	social
6	17	43.778	43.778	1	social
6	17	43.889	43.889	1	social
17	6	44	44	1	social

